versionCreated,headline,date
2025-03-15 14:23:34.961,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
2025-03-15 14:23:32.836,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
2025-03-15 01:21:59.315,Weekly: NGERN TID LOR (TIDLOR: THB14.80) in bottom 3% performers of SET100 Index in past week; -THB1.80 [10.8%],2025-03-15
2025-03-15 01:21:51.726,Weekly: SC Asset (SC: THB2.52) unchanged on feeble volume,2025-03-15
2025-03-14 16:31:50.600,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-14
2025-03-14 16:31:49.377,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-14
2025-03-14 16:31:46.004,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-14
2025-03-14 16:22:06.115,"Comparative Performance Table: SET Index March 14, 2025",2025-03-14
2025-03-14 16:17:46.135,Weekly: NGERN TID LOR (TIDLOR: THB14.80) in bottom 3% performers of SET100 Index in past week; -THB1.80 [10.8%],2025-03-14
2025-03-14 16:17:40.268,"Weekly: Tipco Asphalt (TASCO: THB14.80) falls for a third consecutive week, a three-week fall of 8%; -THB1.28 [-8.0%]",2025-03-14
2025-03-14 16:17:39.249,Weekly: Central Retail Corporation (CRC: THB27.75) in bottom 4% performers of SET100 Index in past week; -THB3.25 [-10.5%],2025-03-14
2025-03-14 16:17:36.341,Weekly: NGERN TID LOR (TIDLOR: THB14.80) in bottom 3% performers of SET100 Index in past week; -THB1.80 [-10.8%],2025-03-14
2025-03-14 16:17:31.412,Weekly: SC Asset (SC: THB2.52) unchanged on feeble volume,2025-03-14
2025-03-14 16:07:34.054,Chonburi Concrete Product (CCP: 21.0 satang) offers earnings yield of 19.9%; +1 satang [+5.0%],2025-03-14
2025-03-14 16:07:30.027,MCOT (MCOT: THB3.54) offers earnings yield of 24.1%; +18 satang [+5.4%],2025-03-14
2025-03-14 16:07:24.334,SC Asset (SC: THB2.52) offers earnings yield of 23.1%; +2 satang [+0.8%],2025-03-14
2025-03-14 16:07:24.323,SCB X (SCB: THB123.50) decreases on weak volume; -THB1 [-0.8%],2025-03-14
2025-03-14 16:07:23.914,Nova Empire (NOVA: THB7.95) offers earnings yield of 22%; -5 satang [-0.6%],2025-03-14
2025-03-14 15:38:58.341,"Comparative Performance Table: SET Index March 13, 2025",2025-03-14
2025-03-14 14:13:03.601,"Comparative Performance Table: SET Index March 13, 2025",2025-03-14
2025-03-14 13:59:19.073,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-14
2025-03-14 13:59:11.840,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-14
2025-03-14 11:43:12.462,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-14
2025-03-14 11:43:08.679,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-14
2025-03-14 07:50:17.000,EMERGING MARKETS-Asian stocks eye weekly losses on trade war jitters,2025-03-14
2025-03-14 07:47:39.000,EMERGING MARKETS-Asian stocks eye weekly losses on trade war jitters,2025-03-14
2025-03-14 06:47:04.181,Thai Stock Market Outlook on 14 March 2025,2025-03-14
2025-03-14 05:36:53.000,EMERGING MARKETS-Asian stocks down as fresh tariff threats dent risk appetite,2025-03-14
2025-03-14 05:36:09.000,EMERGING MARKETS-Asian stocks down as fresh tariff threats dent risk appetite,2025-03-14
2025-03-14 04:51:58.989,"Thai Baht Strengthens, Boosting Thailand's Stock Market",2025-03-14
2025-03-14 04:32:06.540,Thai ESGX fund could limit stock losses,2025-03-14
2025-03-13 16:23:50.480,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-13
2025-03-13 16:23:46.667,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY THURSDAY MARCH 13, 2025",2025-03-13
2025-03-13 16:12:19.348,"Comparative Performance Table: SET Index March 13, 2025",2025-03-13
2025-03-13 16:01:46.129,SCB X (SCB: THB124.50) offers dividend yield of 7.9%,2025-03-13
2025-03-13 16:01:45.596,Bank of Ayudhya (BAY: THB22.40) offers earnings yield of 20%,2025-03-13
2025-03-13 15:49:07.416,"Comparative Performance Table: SET Index March 12, 2025",2025-03-13
2025-03-13 14:18:10.836,"Comparative Performance Table: SET Index March 12, 2025",2025-03-13
2025-03-13 13:25:33.319,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-13
2025-03-13 13:25:22.390,"THAILAND: BANK SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-13
2025-03-13 11:38:23.846,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-13
2025-03-13 11:38:12.480,"THAILAND: BANK SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-13
2025-03-13 10:01:29.753,SET believes ThaiESGX will help support Thai stocks,2025-03-13
2025-03-13 07:07:09.000,EMERGING MARKETS-Asian stocks rise on cooling US inflation; trade war woes persist,2025-03-13
2025-03-13 07:06:34.000,EMERGING MARKETS-Asian stocks rise on cooling US inflation; trade war woes persist,2025-03-13
2025-03-13 04:52:58.000,EMERGING MARKETS-Asian stocks rebound as US inflation cools; trade war woes persist,2025-03-13
2025-03-13 04:50:35.000,EMERGING MARKETS-Asian stocks rebound as US inflation cools; trade war woes persist,2025-03-13
2025-03-13 02:06:59.000,"EMERGING MARKETS-Asian currencies mostly muted, Malaysian ringgit, Indonesian rupiah slip most",2025-03-13
2025-03-12 16:22:34.086,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-12
2025-03-12 16:22:24.613,"THAILAND: BANK SECTOR PULSE DAILY WEDNESDAY MARCH 12, 2025",2025-03-12
2025-03-12 16:12:11.759,"Comparative Performance Table: SET Index March 12, 2025",2025-03-12
2025-03-12 16:01:52.356,SCB X (SCB: THB124.50) offers dividend yield of 7.9%,2025-03-12
2025-03-12 16:01:52.160,Bank of Ayudhya (BAY: THB22.40) offers earnings yield of 20%; -40 satang [-1.8%],2025-03-12
2025-03-12 15:43:24.858,"Comparative Performance Table: SET Index March 11, 2025",2025-03-12
2025-03-12 14:17:54.160,"Comparative Performance Table: SET Index March 11, 2025",2025-03-12
2025-03-12 13:39:12.773,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY TUESDAY MARCH 11, 2025",2025-03-12
2025-03-12 13:00:29.101,SET in the doldrums,2025-03-12
2025-03-12 12:47:03.123,"SET Index closed at 1,160.06, down by 27.57 points",2025-03-12
2025-03-12 11:43:23.331,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY TUESDAY MARCH 11, 2025",2025-03-12
2025-03-12 10:27:54.538,"Thai stocks fall to 6-year low, following global stocks, fears of US recession",2025-03-12
2025-03-12 10:15:52.020,SET News :SET market report for February 2025,2025-03-12
2025-03-12 10:07:50.000,REG - Utilico Emerging Mkt  - Publication of monthly factsheet,2025-03-12
2025-03-12 09:36:23.876,ESG X Fund: Thailand Introduces New Tax Benefits for Thai Investors,2025-03-12
2025-03-12 07:21:37.000,"THAILAND'S BENCHMARK STOCK INDEX <.SETI> FALLS AS MUCH AS 2% TO 1,163.36 POINTS",2025-03-12
2025-03-12 05:03:14.235,FBM KLCI sheds 1.9% as sell-off intensifies,2025-03-12
2025-03-12 04:20:41.508,Thailand offers tax incentives to bolster slumping stocks,2025-03-12
2025-03-12 02:16:45.000,"EMERGING MARKETS-Malaysian ringgit, Indonesian rupiah lead losses among Asian FX",2025-03-12
2025-03-11 16:22:07.433,"THAILAND: AGRIBUSINESS SECTOR PULSE DAILY TUESDAY MARCH 11, 2025",2025-03-11
2025-03-11 16:07:05.941,"Comparative Performance Table: SET Index March 11, 2025",2025-03-11
2025-03-11 16:01:55.801,SCB X (SCB: THB124.50) offers earnings yield of 10.5%; +THB3 [+2.5%],2025-03-11
2025-03-11 15:43:37.326,"Comparative Performance Table: SET Index March 10, 2025",2025-03-11
2025-03-11 14:18:18.900,"Comparative Performance Table: SET Index March 10, 2025",2025-03-11
2025-03-11 13:28:43.261,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-11
2025-03-11 13:28:38.517,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-11
2025-03-11 12:36:23.630,"Thai stocks continued to fall in the afternoon, falling 18 points.",2025-03-11
2025-03-11 12:36:07.475,"SET eyes long-term savings to boost Thailand""s stock market",2025-03-11
2025-03-11 11:28:28.570,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-11
2025-03-11 11:28:23.050,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-11
2025-03-11 08:45:17.836,Thailand offers tax incentives to bolster slumping stock market,2025-03-11
2025-03-11 08:41:10.000,UPDATE 2-Thailand moves to support stock market as it hits post-pandemic low,2025-03-11
2025-03-11 08:02:35.501,Thailand Offers Tax Incentives to Bolster Slumping Stock Market,2025-03-11
2025-03-11 07:43:24.000,EMERGING MARKETS-Asia stocks fall as US slowdown fears mount,2025-03-11
2025-03-11 07:41:58.000,EMERGING MARKETS-Asia stocks fall as US slowdown fears mount,2025-03-11
2025-03-11 04:58:53.000,"EMERGING MARKETS-Asian stocks drop on fears of US recession, growth headwinds",2025-03-11
2025-03-11 04:56:27.000,"EMERGING MARKETS-Asian stocks drop on fears of US recession, growth headwinds",2025-03-11
2025-03-11 03:30:44.000,"THAILAND STOCKS <.SETI> FALL AS MUCH AS 1.1% TO 1,164.26 POINTS, LOWEST LEVEL SINCE EARLY APRIL 2020",2025-03-11
2025-03-10 14:59:08.756,SET eyes long-term savings to boost Thailand's stock market,2025-03-10
2025-03-10 12:52:15.112,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-10
2025-03-10 12:52:07.715,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY MONDAY MARCH 10, 2025",2025-03-10
2025-03-10 12:42:09.123,"THAI PETROCHEMICALS & CHEMICALS SECTOR TOP 3 DAILY: TOP MOMENTUM UP IN THE PAST WEEK End-of-day: Monday March 10, 2025 16:00 (EST: 05:00, GMT: 09:00)",2025-03-10
2025-03-10 12:42:00.217,"Comparative Performance Table: SET Index March 10, 2025",2025-03-10
2025-03-10 12:32:03.080,Krung Thai Bank (KTB: THB22.50) offers earnings yield of 11.6%,2025-03-10
2025-03-10 05:53:52.000,EMERGING MARKETS-Asian currencies slip on uncertain outlook from potential US tariffs,2025-03-10
2025-03-10 05:44:26.000,EMERGING MARKETS-Asian currencies slip on uncertain outlook from potential US tariffs,2025-03-10
2025-03-10 05:16:09.289,SET eyes long-term savings to boost Thailand's stock market,2025-03-10
2025-03-10 02:27:26.000,"EMERGING MARKETS-Thai baht, Malaysia ringgit lead losses as most Asian currencies slip",2025-03-10
2025-03-09 07:00:29.182,SET demands reforms amid sell-off,2025-03-09
2025-03-08 16:37:39.168,"Comparative Performance Table: SET Index March 07, 2025",2025-03-08
2025-03-08 15:12:41.493,"Comparative Performance Table: SET Index March 07, 2025",2025-03-08
2025-03-08 14:58:13.302,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY MARCH 07, 2025",2025-03-08
2025-03-08 14:24:08.041,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY MARCH 07, 2025",2025-03-08
2025-03-08 10:32:08.891,Thai stock market turmoil: Is now the time to invest?,2025-03-08
2025-03-08 01:17:12.270,Weekly: SC Asset (SC: THB2.52) down 3.8% in 2 weeks; -2 satang [0.8%],2025-03-08
2025-03-07 16:37:50.808,"Comparative Performance Table: SET Index March 06, 2025",2025-03-07
2025-03-07 16:27:52.668,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY MARCH 07, 2025",2025-03-07
2025-03-07 16:17:30.107,"Comparative Performance Table: SET Index March 07, 2025",2025-03-07
2025-03-07 16:13:51.639,Weekly: SC Asset (SC: THB2.52) down 3.8% in 2 weeks; -2 satang [0.8%],2025-03-07
2025-03-07 16:08:36.430,MCOT (MCOT: THB3.50) offers earnings yield of 24.4%; +16 satang [+4.8%],2025-03-07
2025-03-07 16:08:30.507,Siam Steel Service Center (SSSC: THB2.02) offers earnings yield of 20.8%; +2 satang [+1.0%],2025-03-07
2025-03-07 16:08:29.353,Castle Peak (CPH: THB8.25) offers earnings yield of 23.8%; +5 satang [+0.6%],2025-03-07
2025-03-07 16:08:29.309,SCB X (SCB: THB121.50) offers dividend yield of 8.1%,2025-03-07
2025-03-07 16:08:28.997,SC Asset (SC: THB2.52) offers earnings yield of 23.1%; +2 satang [+0.8%],2025-03-07
2025-03-07 16:08:19.581,Asia Network International (ANI: THB2.86) offers earnings yield of 21.3%,2025-03-07
2025-03-07 16:08:19.194,Star Petroleum Refining (SPRC: THB5.55) offers dividend yield of 7.2%; ex-Dividend,2025-03-07
2025-03-07 15:12:43.031,"Comparative Performance Table: SET Index March 06, 2025",2025-03-07
2025-03-07 14:43:31.062,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 14:43:23.199,"THAILAND: FASHION SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 14:43:21.937,"THAILAND: INSURANCE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 12:38:16.786,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 12:38:09.196,"THAILAND: FASHION SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 12:38:08.572,"THAILAND: INSURANCE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-07
2025-03-07 07:16:14.589,Thai stock market turmoil: Is now the time to invest?,2025-03-07
2025-03-07 06:30:00.000,TISCO Asset Management indicates that the SET index is nearing its lowest point,2025-03-07
2025-03-07 05:09:26.000,EMERGING MARKETS-Asian currencies inch lower amid Trump tariff policy uncertainty,2025-03-07
2025-03-07 05:08:18.000,EMERGING MARKETS-Asian currencies inch lower amid Trump tariff policy uncertainty,2025-03-07
2025-03-07 02:07:44.000,EMERGING MARKETS-Thai baht leads losses among weak Asian currencies,2025-03-07
2025-03-06 16:43:31.684,"Comparative Performance Table: SET Index March 05, 2025",2025-03-06
2025-03-06 15:18:11.262,"Comparative Performance Table: SET Index March 05, 2025",2025-03-06
2025-03-06 12:27:30.636,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-06
2025-03-06 12:27:23.081,"THAILAND: FASHION SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-06
2025-03-06 12:27:22.276,"THAILAND: INSURANCE SECTOR PULSE DAILY THURSDAY MARCH 06, 2025",2025-03-06
2025-03-06 12:18:32.482,"Comparative Performance Table: SET Index March 06, 2025",2025-03-06
2025-03-06 07:54:02.000,"EMERGING MARKETS-Asian stocks, currencies gain on China stimulus",2025-03-06
2025-03-06 07:52:42.000,"EMERGING MARKETS-Asian stocks, currencies gain on China stimulus",2025-03-06
2025-03-06 04:52:41.000,"EMERGING MARKETS-Asian stocks, currencies rise on China stimulus",2025-03-06
2025-03-06 04:52:16.000,"EMERGING MARKETS-Asian stocks, currencies rise on China stimulus",2025-03-06
2025-03-06 02:08:34.000,"EMERGING MARKETS-Korean won, Indonesian rupiah take lead among strong Asian currencies",2025-03-06
2025-03-05 16:47:42.737,"Comparative Performance Table: SET Index March 04, 2025",2025-03-05
2025-03-05 16:00:29.765,Paopoom touts cheap stocks,2025-03-05
2025-03-05 15:22:22.439,"Comparative Performance Table: SET Index March 04, 2025",2025-03-05
2025-03-05 14:52:53.284,"THAILAND: FINANCE AND SECURITIES SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 14:52:47.479,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 14:52:45.977,"THAILAND: TRANSPORTATION & LOGISTICS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 13:42:43.438,"Comparative Performance Table: SET Index March 05, 2025",2025-03-05
2025-03-05 12:47:47.621,"THAILAND: FINANCE AND SECURITIES SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 12:47:43.607,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 12:47:42.973,"THAILAND: TRANSPORTATION & LOGISTICS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 07:25:20.000,"EMERGING MARKETS-Indonesia leads gains in Asian stocks, currencies amid Trump tariff worries",2025-03-05
2025-03-05 07:24:14.000,"EMERGING MARKETS-Indonesia leads gains in Asian stocks, currencies amid Trump tariff worries",2025-03-05
2025-03-05 04:57:08.000,"EMERGING MARKETS-Indonesia leads Asian stocks, currencies higher; Trump tariffs on watch",2025-03-05
2025-03-05 04:56:31.000,"EMERGING MARKETS-Indonesia leads Asian stocks, currencies higher; Trump tariffs on watch",2025-03-05
2025-03-05 04:02:34.214,"THAILAND: FINANCE AND SECURITIES SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 04:02:30.684,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 04:02:29.435,"THAILAND: TRANSPORTATION & LOGISTICS SECTOR PULSE DAILY TUESDAY MARCH 04, 2025",2025-03-05
2025-03-05 03:52:08.218,"Comparative Performance Table: SET Index March 04, 2025",2025-03-05
2025-03-05 03:47:03.520,SCB X (SCB: THB121.50) offers earnings yield of 10.6%; -THB1.50 [-1.2%],2025-03-05
2025-03-04 16:47:40.958,"Comparative Performance Table: SET Index March 03, 2025",2025-03-04
2025-03-04 15:22:28.682,"Comparative Performance Table: SET Index March 03, 2025",2025-03-04
2025-03-04 03:57:31.187,"Comparative Performance Table: SET Index March 03, 2025",2025-03-04
2025-03-04 03:47:16.967,SCB X (SCB: THB123.0) offers dividend yield of 8%; +THB1 [+0.8%],2025-03-04
2025-03-04 02:12:47.000,"EMERGING MARKETS-Philippine peso, Taiwan dollar slip amid muted Asian currencies",2025-03-04
2025-03-03 15:46:54.127,"Why the SET Dropped Below 1,200: A Perfect Storm Shakes Thailand's Stock Market",2025-03-03
2025-03-03 06:28:34.018,Monthly: SCB X (SCB: THB122.0) decreases 2% on firm volume in February 2025,2025-03-03
2025-03-02 09:20:34.187,"SET index slides below 1,200 points",2025-03-02
2025-03-02 07:00:40.168,"SET Index closed the morning session down 20 points, falling below 1,200 points.",2025-03-02
2025-03-01 16:37:21.667,"Comparative Performance Table: SET Index February 28, 2025",2025-03-01
2025-03-01 15:12:38.550,"Comparative Performance Table: SET Index February 28, 2025",2025-03-01
2025-03-01 14:48:21.066,"THAILAND: COMMERCE SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-03-01
2025-03-01 14:48:19.292,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-03-01
2025-03-01 14:08:08.087,"THAILAND: COMMERCE SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-03-01
2025-03-01 14:08:07.220,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-03-01
2025-03-01 05:11:13.940,Hope on the Horizon? – Investor confidence wavers as Thai stock market hits new lows amid economic and political uncertainty,2025-03-01
2025-03-01 01:47:59.153,Weekly: Pruksa Holding (PSH: THB4.80) in bottom 2% performers of Thai market in past week; -THB1.10 [18.6%] Vol Index 5.0 [1 is avg],2025-03-01
2025-02-28 22:16:17.836,"SET index slides below 1,200 points",2025-02-28
2025-02-28 16:37:33.896,"Comparative Performance Table: SET Index February 27, 2025",2025-02-28
2025-02-28 15:12:58.591,"Comparative Performance Table: SET Index February 27, 2025",2025-02-28
2025-02-28 14:53:15.631,"THAILAND: PROFESSIONAL SERVICES SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 14:53:11.553,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 14:53:09.832,"THAILAND: TRANSPORTATION & LOGISTICS SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 14:53:08.381,"THAILAND: FASHION SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 13:54:03.967,KGI Securities (Thailand) Public Company Limited: Management Discussion and Analysis Yearly Ending 31 Dec 2024,2025-02-28
2025-02-28 12:53:19.580,"THAILAND: PROFESSIONAL SERVICES SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 12:53:15.994,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 12:53:13.770,"THAILAND: COMMERCE SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-02-28
2025-02-28 12:53:13.628,"THAILAND: TRANSPORTATION & LOGISTICS SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 12:53:12.808,"THAILAND: FASHION SECTOR PULSE DAILY FRIDAY FEBRUARY 28, 2025",2025-02-28
2025-02-28 12:53:11.798,"THAILAND: FASHION SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-28
2025-02-28 12:43:17.985,"Comparative Performance Table: SET Index February 28, 2025",2025-02-28
2025-02-28 12:34:21.595,Weekly: Pruksa Holding (PSH: THB4.80) in bottom 2% performers of Thai market in past week; -THB1.10 [18.6%] Vol Index 5.0 [1 is avg],2025-02-28
2025-02-28 12:22:06.561,Pruksa Holding (PSH: THB4.80) offers earnings yield of 21%; -80 satang [-14.3%] Vol Index 19.7 [1 is avg],2025-02-28
2025-02-28 12:21:58.248,"SCB X (SCB: THB122.0) loses THB5 billion ($148 million) (1.2%) in MCap, steepest heavyweight fall in Bank sector; -THB1.50 [-1.2%]",2025-02-28
2025-02-28 12:21:56.409,Castle Peak (CPH: THB8.20) offers earnings yield of 23.9%; -5 satang [-0.6%],2025-02-28
2025-02-28 12:21:55.629,SC Asset (SC: THB2.54) offers earnings yield of 22.9%,2025-02-28
2025-02-28 08:46:58.000,"EMERGING MARKETS-S.Korea, Indonesia weigh on Asian currencies, stocks as Trump tariffs loom",2025-02-28
2025-02-28 08:45:46.000,"EMERGING MARKETS-S.Korea, Indonesia weigh on Asian currencies, stocks as Trump tariffs loom",2025-02-28
2025-02-28 06:09:24.000,"EMERGING MARKETS-South Korea, Indonesia drag Asian currencies, stocks on impending US tariffs",2025-02-28
2025-02-28 06:08:19.000,"EMERGING MARKETS-South Korea, Indonesia drag Asian currencies, stocks on impending US tariffs",2025-02-28
2025-02-28 03:08:03.000,"THAILAND STOCKS <.SETI> FALL AS MUCH AS 1.9% TO 1,192.43 POINTS, LOWEST LEVEL SINCE NOV 2, 2020",2025-02-28
2025-02-28 02:12:18.000,"EMERGING MARKETS-Korean won, Indonesian rupiah drag Asian currencies lower",2025-02-28
2025-02-27 16:38:06.490,"Comparative Performance Table: SET Index February 26, 2025",2025-02-27
2025-02-27 16:27:40.224,"THAILAND: PROFESSIONAL SERVICES SECTOR PULSE DAILY THURSDAY FEBRUARY 27, 2025",2025-02-27
